feature,n,borderline_mean,borderline_std,borderline_median
airway_branch_per_node_legR17,12,0.4939493377934118,0.0028810453877382153,0.4942765567765568
airway_diam_kurt_legR17,12,14.59226107597351,4.204007416242981,14.86988639831543
airway_diam_mean_legR17,12,4.278575956821442,5.291978382421809,2.5879040956497192
airway_diam_p10_legR17,12,1.6721291025479632,0.7810737201033359,1.4012890577316286
airway_diam_p25_legR17,12,2.130462477604548,1.6807475452869218,1.5855990648269653
airway_diam_p50_legR17,12,2.970660279194514,3.0960708902454237,1.9865706562995908
airway_diam_p75_legR17,12,4.640665312608083,5.996674682460648,2.6238187551498413
airway_diam_p90_legR17,12,7.852912469704948,10.853576697616997,4.451749157905579
airway_diam_sd_legR17,12,4.1222861508528394,7.040354026076381,2.0947563648223877
airway_diam_skew_legR17,12,3.420367181301117,0.5142714412684626,3.4722647666931152
airway_lap_eig0_legR17,12,-0.00126799887467837,0.004205476501901049,4.886640952863778e-18
airway_lap_eig1_legR17,12,0.00415598876016065,0.0024907670560682703,0.00450292370931185
airway_lap_eig2_legR17,12,0.0079416478152643,0.0038996553421086315,0.00741314309683945
airway_lap_eig3_legR17,12,0.012150047578180933,0.005423655313756372,0.0120108054888566
airway_lap_eig4_legR17,12,0.01762186562414981,0.010444560485085921,0.01622142834047605
airway_len_kurt_legR17,12,18.42785056432088,4.735422964818148,18.318915367126465
airway_len_mean_legR17,12,23.3471523920695,1.5646360826646164,23.40411949157715
airway_len_p10_legR17,12,7.503162821133931,1.5001103418864952,7.744171237945556
airway_len_p25_legR17,12,12.344969471295675,1.610338417987133,12.468393445014954
airway_len_p50_legR17,12,18.74527970949809,1.415643437612491,19.117813587188724
airway_len_p75_legR17,12,29.800190369288128,2.5765379903315595,29.298055171966553
airway_len_p90_legR17,12,41.413925615946454,4.130403854354561,42.370177268981934
airway_len_sd_legR17,12,18.342346747716267,3.203255470258436,18.1033935546875
airway_len_skew_legR17,12,3.2026580373446145,0.5301871034896904,3.1278852224349976
airway_max_degree_legR17,12,6.5,0.8660254037844386,6.0
airway_mean_HU,12,-877.0385284423828,43.80176192916398,-890.8049621582031
airway_mean_degree_legR17,12,3.97814940105461,0.009545291255613552,3.977106227106227
airway_n_branches_legR17,12,137.83333333333334,152.75788759413447,86.5
airway_n_components_legR17,12,1.0,0.0,1.0
airway_n_edges_legR17,12,553.8333333333334,611.4373548360362,348.0
airway_n_nodes_legR17,12,277.9166666666667,305.7186774180181,175.0
airway_tort_kurt_legR17,12,0.7480010588963827,1.2756661419226836,0.2242820262908935
airway_tort_mean_legR17,12,1.1874861518541973,0.03419498653441414,1.1718284487724304
airway_tort_p10_legR17,12,1.057931716243426,0.018720751862105957,1.0627458095550537
airway_tort_p25_legR17,12,1.1016911193728447,0.026031514517506717,1.1047543287277222
airway_tort_p50_legR17,12,1.1647906800111134,0.02839299969472447,1.1515623927116394
airway_tort_p75_legR17,12,1.2517698581020038,0.05687592965524405,1.222178727388382
airway_tort_p90_legR17,12,1.345340942343076,0.08927050207018923,1.309334933757782
airway_tort_sd_legR17,12,0.11597574874758719,0.04175344025385712,0.09865134581923479
airway_tort_skew_legR17,12,0.8073051696022352,0.37295651387926765,0.6603240072727203
airway_tortuosity_proxy_legR17,12,2.0,0.0,2.0
airway_total_len_mm_legR17,12,6382.960530598958,6893.536964070873,4159.50439453125
airway_total_vol_proxy_mm3_legR17,12,3993202.0091145835,13041382.023297163,56998.52734375
airway_vol_mL,12,4427.220539360606,14455.687266289597,67.28045302940686
apical_LAA_910_frac,12,0.36270829113115216,0.33079037593864224,0.3317821566253994
apical_LAA_950_frac,12,0.23047111888710278,0.29553643343211083,0.1003533698766367
apical_basal_LAA950_gradient,12,0.035603394766098855,0.1351593712197405,0.0014318907096864
apical_mean_HU,12,-859.4568735758463,81.9135135709989,-873.1800231933594
apical_n_voxels,12,4248417.166666667,3749192.066704079,3405010.0
artery_branch_per_node,12,0.42146701026635486,0.04404906663601988,0.41985002829654783
artery_diam_kurt,12,3.2365040381749473,4.182266115146316,1.225440502166748
artery_diam_mean,12,5.294650832811992,0.900357131747682,5.36492133140564
artery_diam_p10,12,2.3022543966770175,0.4134015570830999,2.360205888748169
artery_diam_p25,12,3.0926897724469504,0.39608358656880016,3.107891023159027
artery_diam_p50,12,4.425828059514363,0.5589411617889075,4.517792701721191
artery_diam_p75,12,6.642647137244542,1.2794959881263546,6.718354940414429
artery_diam_p90,12,9.607768432299297,2.5650730922839373,9.273821067810058
artery_diam_sd,12,3.101678987344106,0.888682220375191,3.280661463737488
artery_diam_skew,12,1.528411070505778,0.6029731488348836,1.270907700061798
