feature,n,spearman_rho,p_raw,perm_p,p_holm,holm_sig,p_fdr,fdr_sig,abs_rho
paren_std_HU,99,0.6641727852406281,6.67580522831458e-14,0.0,1.1482384992701078e-11,True,1.1348868888134787e-11,True,0.6641727852406281
whole_std_HU,102,0.6353239471602653,7.367651323404077e-13,0.0,1.2598683763020973e-10,True,6.262503624893465e-11,True,0.6353239471602653
vein_persH1_total,102,-0.5943989749057488,4.509216521985041e-11,0.0,7.66566808737457e-09,True,2.5552226957915232e-09,True,0.5943989749057488
vein_persH0_total,102,-0.5613714656812454,8.374247147608907e-10,0.0,1.4152477679459054e-07,True,3.559055037733786e-08,True,0.5613714656812454
paren_HU_p95,99,0.5578780337270685,1.9876143729614246e-09,0.0,3.3391921465751935e-07,True,6.757888868068844e-08,True,0.5578780337270685
whole_HU_p95,102,0.5405185386262559,4.518709372269788e-09,0.0,7.546244651690546e-07,True,1.2803009888097734e-07,True,0.5405185386262559
vein_persH1_n_loops,102,-0.4703661473716633,6.089579218141715e-07,0.0,0.00010108701502115247,True,1.4788978101201308e-05,True,0.4703661473716633
vessel_airway_over_lung,102,0.466413840222,7.779709050852104e-07,0.0,0.0001283651993390597,True,1.6531881733060722e-05,True,0.466413840222
paren_HU_p75,99,0.4564563093958941,2.048801082415926e-06,0.0,0.00033600337751621184,True,3.869957600118971e-05,True,0.4564563093958941
whole_HU_p75,102,0.4480508766386194,2.333974126013717e-06,0.0,0.00038043778254023586,True,3.967756014223318e-05,True,0.4480508766386194
middle_n_voxels,102,-0.4398877200841771,3.7277948069517153e-06,0.0,0.0006039027587261779,True,5.761137428925379e-05,True,0.4398877200841771
basal_n_voxels,102,-0.43514040464142256,4.867625567308725e-06,0.0,0.0007836877163367047,True,6.895802887020694e-05,True,0.43514040464142256
paren_n_voxels,102,-0.4237559008621351,9.08163063577411e-06,0.0,0.0014530609017238574,True,0.00011875978523704605,True,0.4237559008621351
whole_n_voxels,102,-0.3956296653045689,3.860940578197312e-05,0.0,0.006138895519333726,True,0.0004688284987811022,True,0.3956296653045689
middle_mean_HU,99,0.3898085279906022,6.65625486601253e-05,0.0,0.010450320139639672,True,0.0007072270795138313,True,0.3898085279906022
artery_persH1_total,102,-0.38657082612674515,5.9892519910061545e-05,0.0,0.009463018145789724,True,0.0006787818923140309,True,0.38657082612674515
apical_n_voxels,102,-0.3829538845835856,7.11156000666402e-05,0.0,0.011094033610395872,True,0.000711156000666402,True,0.3829538845835856
lung_vol_mL,102,-0.38075981561105177,7.884796078095782e-05,0.0,0.012221433921048462,True,0.0007446751851534904,True,0.38075981561105177
artery_persH0_total,102,-0.3792830154702573,8.448573899607226e-05,0.0,0.013010803805395129,True,0.0007559250331227518,True,0.3792830154702573
airway_tort_mean_legR17,99,0.37874310737925077,0.00011080273811995513,0.0,0.016952818932353134,True,0.0009418232740196186,True,0.37874310737925077
whole_mean_HU,102,0.3700714038640755,0.000129020502704501,0.0,0.01961111641108415,True,0.0010444516885602462,True,0.3700714038640755
paren_mean_HU,99,0.3587968821944712,0.00026546696230913825,0.0,0.04008551130867988,True,0.0020513356178433408,True,0.3587968821944712
airway_mean_HU,99,0.35000271961688145,0.00038337083448067554,0.0,0.05712225433762066,False,0.002715543410904785,True,0.35000271961688145
airway_tort_p75_legR17,99,0.34792950043075016,0.0004174251476404673,0.0,0.06177892185078916,False,0.0027429841812990014,True,0.34792950043075016
artery_vol_mL,102,0.34632377861152935,0.0003630262992152263,0.0,0.054453944882283944,False,0.002683237863764716,True,0.34632377861152935
artery_persH0_max,102,-0.3428505897477482,0.0004195152277280826,0.002,0.06177892185078916,False,0.0027429841812990014,True,0.3428505897477482
paren_HU_p50,99,0.3384188994236871,0.0006122274967438957,0.0,0.08877298702786487,False,0.0036291893472806245,True,0.3384188994236871
whole_HU_p50,102,0.33765563688114997,0.0005192178045487711,0.0,0.07580579946412058,False,0.0032691491397515223,True,0.33765563688114997
artery_len_p75,102,-0.33281190605897276,0.0006313276011708268,0.002,0.09091117456859905,False,0.0036291893472806245,True,0.33281190605897276
vein_persH1_max,102,-0.33245353854474835,0.0006404451789318749,0.002,0.0915836605872581,False,0.0036291893472806245,True,0.33245353854474835
airway_tort_p50_legR17,99,0.32495699410561774,0.0010316102288890927,0.004,0.14648865250225115,False,0.005657217384230508,True,0.32495699410561774
