feature,category,n_total,n_missing,missing_frac,n_finite,std,n_unique,near_zero_sd,constant
vein_p95_HU,7_lung_parenchyma,290,106,0.36551724137931035,184,83.25586783159217,133,False,False
vein_vol_mL,1_basic_graph_size,290,80,0.27586206896551724,210,3602.9681571791716,185,False,False
vessel_airway_over_lung,1_basic_graph_size,290,80,0.27586206896551724,210,1.6985454812716485,201,False,False
vessel_airway_vol_mL,1_basic_graph_size,290,80,0.27586206896551724,210,7462.691432573435,209,False,False
whole_HU_p25,7_lung_parenchyma,290,80,0.27586206896551724,210,189.31306436918752,139,False,False
whole_HU_p5,7_lung_parenchyma,290,80,0.27586206896551724,210,115.41325156801904,128,False,False
whole_HU_p50,7_lung_parenchyma,290,80,0.27586206896551724,210,243.8074932808758,142,False,False
whole_HU_p75,7_lung_parenchyma,290,80,0.27586206896551724,210,241.21995816265812,153,False,False
whole_HU_p95,7_lung_parenchyma,290,80,0.27586206896551724,210,213.7809411943777,135,False,False
whole_LAA_856_frac,7_lung_parenchyma,290,80,0.27586206896551724,210,0.25149350972886325,194,False,False
whole_LAA_910_frac,7_lung_parenchyma,290,80,0.27586206896551724,210,0.19482458366225266,194,False,False
whole_LAA_950_frac,7_lung_parenchyma,290,80,0.27586206896551724,210,0.1547578217789401,194,False,False
whole_mean_HU,7_lung_parenchyma,290,80,0.27586206896551724,210,207.74973331287052,210,False,False
whole_n_voxels,1_basic_graph_size,290,80,0.27586206896551724,210,13062732.507474767,209,False,False
whole_std_HU,7_lung_parenchyma,290,80,0.27586206896551724,210,38.89766371175223,210,False,False
artery_persH0_max,8_TDA_persistence,290,78,0.2689655172413793,212,21.027414323241818,187,False,False
artery_persH0_n_pairs,8_TDA_persistence,290,78,0.2689655172413793,212,155.55253096914188,3,False,False
artery_persH0_total,8_TDA_persistence,290,78,0.2689655172413793,212,3029.2616136430183,190,False,False
artery_persH1_max,8_TDA_persistence,290,78,0.2689655172413793,212,13.183803546693094,190,False,False
artery_persH1_n_loops,8_TDA_persistence,290,78,0.2689655172413793,212,55.136542078531875,58,False,False
artery_persH1_total,8_TDA_persistence,290,78,0.2689655172413793,212,340.2003744596554,190,False,False
vein_persH0_max,8_TDA_persistence,290,78,0.2689655172413793,212,22.008439922356484,178,False,False
vein_persH0_n_pairs,8_TDA_persistence,290,78,0.2689655172413793,212,169.31658601489895,4,False,False
vein_persH0_total,8_TDA_persistence,290,78,0.2689655172413793,212,3192.618427893389,185,False,False
vein_persH1_max,8_TDA_persistence,290,78,0.2689655172413793,212,17.80540704369107,185,False,False
vein_persH1_n_loops,8_TDA_persistence,290,78,0.2689655172413793,212,56.59911961850567,66,False,False
vein_persH1_total,8_TDA_persistence,290,78,0.2689655172413793,212,358.20359049406375,185,False,False
