k,algo,silhouette,davies_bouldin,ari_vs_label,ari_perm_p,stability_ari_mean,stability_ari_std
2,KMeans,0.987566258161044,0.004859271716002451,0.05188555593004531,0.155,0.84,0.3666060555964672
2,GMM,0.987566258161044,0.004859271716002451,0.05188555593004531,0.155,0.84,0.3666060555964672
3,KMeans,0.9127752686033728,0.12820591375823173,0.0013999580131538961,0.652,0.968840212607442,0.12587662538267513
3,GMM,0.9127752686033728,0.12820591375823173,0.0013999580131538961,0.652,0.9688896293491603,0.12554358508149152
4,KMeans,0.9176739185172673,0.11498267622111076,-0.005852850622077079,1.0,0.8094556317175128,0.35780150455455795
4,GMM,0.9176739185172673,0.11498267622111076,-0.005852850622077079,1.0,0.6438417160587967,0.41079937031507047
5,KMeans,0.20898335507138954,0.7959468630486353,0.05906964694748557,0.008,0.5852695468626414,0.32768758212486593
5,GMM,0.24117063862993826,0.7601980335964191,0.1332300492965806,0.001,0.7637152092488578,0.2274174918339702
