experiment,method,k,ARI_vs_PH,NMI_vs_PH,silhouette,sizes
A_WL,kmeans,2,0.12237161404361241,0.18067692531979931,0.4083022177219391,246|23
A_WL,spectral,2,0.04645958819767886,0.08722787013388014,0.3777385354042053,259|10
A_WL,kmeans,3,0.4832255729955131,0.41569450106033373,0.30003851652145386,55|191|23
A_WL,spectral,3,0.11522448057646437,0.17030249391346688,0.42922747135162354,246|13|10
A_WL,kmeans,4,0.34395013802396684,0.32086253353257543,0.20238852500915527,23|142|55|49
A_WL,spectral,4,0.37040791005940477,0.3692449053411395,0.33049845695495605,210|36|13|10
B_stats,kmeans,2,0.11691917898346979,0.15029376929844274,0.44563496112823486,245|24
B_stats,spectral,2,0.11691917898346979,0.15029376929844274,0.44563496112823486,245|24
B_stats,kmeans,3,0.44814463321420567,0.34746592370300455,0.2940128445625305,24|179|66
B_stats,spectral,3,0.44814463321420567,0.34746592370300455,0.2940128445625305,179|66|24
B_stats,kmeans,4,0.28116000894541804,0.2919707211527245,0.2674168646335602,35|67|143|24
B_stats,spectral,4,0.2627993556505297,0.27488242789578504,0.23128102719783783,24|123|66|56
C_GAE,kmeans,2,0.3645821343375666,0.34789244893809723,0.8000286221504211,212|57
C_GAE,spectral,2,0.3645821343375666,0.34789244893809723,0.8000286221504211,212|57
C_GAE,kmeans,3,0.3218146592335152,0.30493311129457884,0.6638891696929932,57|200|12
C_GAE,spectral,3,0.5443979375896014,0.4787798677894961,0.37360233068466187,189|23|57
C_GAE,kmeans,4,0.19292949770091045,0.27817407063351135,0.4741867780685425,57|133|12|67
C_GAE,spectral,4,0.31907129026298164,0.3786792166969096,0.4348142147064209,94|95|57|23
