cluster_method,variable,type,test,stat,pvalue,n,n_groups
gmm_k3,红细胞压积,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,血小板平均体积fl,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,CRP,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,血沉,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,PaO2,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,PaCO2,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,碱性磷酸酶,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,球蛋白,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,总胆固醇,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,甘油三酯,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,HDL,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,LDL,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,APOA1,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,APOB,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,APOE,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,脂蛋白,categorical,chi2,3.0000000000000004,0.22313016014842973,3,2
gmm_k3,DLCOSB预计值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,DLCOSB实测值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,DLCOSB实预,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,DLCOVA预计值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,DLCOVA实测值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,DLCOVA实预,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,Rtot实测值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,RV预计值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,RV实测值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,TLC预计值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,TLC实测值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,IC实测值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,IC实预,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,ERV实测值,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,ERV实预,categorical,chi2,3.0,0.22313016014842982,3,2
gmm_k3,右肺空气体积(ml)_y,numeric,kruskal,2.9745410339088494,0.22598864666790883,95,3
gmm_k3,动脉(右上肺叶)弯曲度,numeric,kruskal,2.931688825302458,0.23088294865780765,95,3
gmm_k3,肺血管容积(ml)_y,numeric,kruskal,2.9294618091672078,0.23114018187286675,95,3
gmm_k3,静脉(右中肺叶)容积(ml),numeric,kruskal,2.9054991359868874,0.23392620701557873,95,3
gmm_k3,右肺容积(ml)_y,numeric,kruskal,2.8450120484016566,0.24110903408840836,95,3
gmm_k3,静脉(右下肺叶)容积(ml),numeric,kruskal,2.803659063220014,0.24614621945251608,95,3
gmm_k3,动脉平均密度(HU),numeric,kruskal,2.700084512169724,0.25922930639888137,95,3
gmm_k3,gender,categorical,chi2,2.6998706274069324,0.2592570304806485,105,3
gmm_k3,病患ID_x,categorical,chi2,4.0,0.26146412994911117,4,2
