lobe,n_PH,n_nonPH,median_PH,median_nonPH,mean_PH,mean_nonPH,U,p,pct_AB>1_PH,pct_AB>1_nonPH
左上肺叶,68,24,2.568974695360261,2.1583719163478476,2.6997758162493346,2.127401266265345,1125.0,0.00608591043376237,95.58823529411765,95.83333333333334
左下肺叶,67,24,2.133916332294356,1.8245784156888987,2.552327963796755,1.961259951401581,1110.0,0.005932831625927741,97.01492537313433,100.0
右上肺叶,64,24,2.4637496279669078,1.9906242327947592,2.625034183173258,2.1318056299380754,1023.0,0.017104779784588305,96.875,100.0
右中肺叶,57,24,2.340247922816543,1.924772905641909,2.5106049227066514,2.0998248793917753,863.0,0.06486309572166117,89.47368421052632,100.0
右下肺叶,62,24,2.6658568667949414,2.1880710246201023,3.5056453770170513,2.927014303908988,1005.0,0.012139736756479641,100.0,100.0
