feature,desc,ph_mean,ph_std,ph_n,nonph_mean,nonph_std,nonph_n,diff,mann_whitney_p,welch_p
upper_AB_mean,upper-tertile A:B mean,1.116389783749883,0.43001777878003583,123,1.195195437207731,0.6977392628402671,16,-0.07880565345784785,0.8250225669801086,0.6745217058484376
middle_AB_mean,middle-tertile A:B mean,1.0619646305676709,0.28584993134590114,71,1.0172018149910294,0.22132336765136712,9,0.044762815576641524,0.5224671856065892,0.6102339546557839
lower_AB_mean,lower-tertile A:B mean,1.129003513352133,0.42484387563440434,123,1.1849517317198028,0.7039827871851257,16,-0.05594821836766983,0.3015948329848763,0.7671048441496577
upper_frac_gt1,upper-tertile fraction A:B>1,0.44447838533204387,0.430100553408517,123,0.3972222222222222,0.46260634413033036,16,0.04725616310982167,0.5062849325526447,0.711123756189488
middle_frac_gt1,middle-tertile fraction A:B>1,0.48697847535875705,0.39957065316024315,71,0.345679012345679,0.3864808849999637,9,0.14129946301307805,0.3022188483132595,0.3518713354410482
lower_frac_gt1,lower-tertile fraction A:B>1,0.46589647931111344,0.4277768986448252,123,0.24583333333333335,0.3956139743066044,16,0.2200631459777801,0.05096147827233894,0.05791176436138997
all_AB_mean,all-pair A:B mean,1.114419168551224,0.34494943063367517,123,1.1671375982030572,0.6613700717918685,16,-0.052718429651833265,0.2791025312158657,0.7652790595888421
all_frac_gt1,all-pair fraction A:B>1,0.45549149224611596,0.3568350334810626,123,0.3136412198912199,0.3746562751748468,16,0.14185027235489606,0.12462544163543335,0.18077008019476662
pair_rate,artery-airway pair rate,0.04969897649427776,0.040027926816767374,123,0.043677206126489565,0.025243455497143866,16,0.006021770367788198,0.9631529231649125,0.42688939322451847
