tau,structure,onset_pseudotime,boot_lo,boot_hi,n_features_in_group
0.25,artery,-0.0288943360283668,-0.0313475849392547,-0.01788142708563786,36
0.25,vein,-0.0248562668193525,-0.0320674952023498,0.06443831052834527,36
0.25,airway,,,,6
0.5,artery,0.0862367465893367,0.0783771518546691,0.0883736495402559,36
0.5,vein,,-0.0235213798417314,0.1036334790382736,36
0.5,airway,,,,6
0.75,artery,0.0883736495402559,0.0868649028951824,0.0996395709211065,36
0.75,vein,,0.0883736495402559,0.1036334790382736,36
0.75,airway,,,,6
