feature_set,n_features,ensemble_rho,ensemble_p,per_seed_min,per_seed_max,per_seed_mean,per_seed_std,gate_rho_ge_0.50
morph_only,89,0.3458201954217565,0.0003707574638203042,0.24659015851809585,0.3918725952145782,0.3091150102403703,0.0475415838714332,False
morph_lung,127,0.49030896321994977,1.6865152670739432e-07,0.37477197977998233,0.5010030523624637,0.4521352311042576,0.04472865338218403,False
morph_tda,107,0.33047505372890335,0.000692989296197399,0.1624289090627545,0.35532439554071255,0.2906813108477079,0.0684668573801968,False
all_three,145,0.5128457255218061,3.5703184559588635e-08,0.4122299395309182,0.542189821639603,0.4624125785817458,0.047522213416439495,True
