removed_bucket,n_features_removed,n_features_remaining,auc,auc_drop
artery,39,133,0.8552601681436037,0.043399227448307265
airway,42,130,0.8670756646216768,0.03158373097023415
lung,40,132,0.8857077936832539,0.012951601908657073
vein,39,133,0.8932060895251079,0.005453306066803054
TDA,12,160,0.9011588275391956,-0.002499431947284636
